,number,value,datetime_start,datetime_complete,duration,params_encoded_space_dim,params_learning_rate,params_momentum,params_n_channels,params_optimizer,params_weight_decay,system_attrs_fixed_params,state
99,99,0.25014081597328186,2021-06-21 23:56:36.793737,2021-06-21 23:56:36.994286,0 days 00:00:00.200549000,55,3.584115587425458e-05,0.8915538884469391,5,Adam,8.405133589230932e-06,,PRUNED
100,100,0.19122028350830078,2021-06-21 23:56:37.009912,2021-06-21 23:56:37.226088,0 days 00:00:00.216176000,66,0.00025795102057276254,0.776248553549343,9,Adam,2.4276258000595303e-05,,PRUNED
101,101,0.23524895310401917,2021-06-21 23:56:37.226088,2021-06-21 23:56:37.442281,0 days 00:00:00.216193000,51,0.0013397149761804248,0.9442687225614171,7,sgd,7.836131484388393e-05,,PRUNED
102,102,0.22634932398796082,2021-06-21 23:56:37.448793,2021-06-21 23:56:37.664991,0 days 00:00:00.216198000,95,0.003034827736966421,0.6088516549748412,7,sgd,4.239414064379874e-05,,PRUNED
103,103,0.2042146474123001,2021-06-21 23:56:37.664991,2021-06-21 23:56:37.865540,0 days 00:00:00.200549000,62,0.0010983149737917928,0.6359153785628657,7,sgd,4.817511286428038e-06,,PRUNED
104,104,0.16811220347881317,2021-06-21 23:56:37.865540,2021-06-21 23:57:19.076224,0 days 00:00:41.210684000,53,0.0006123855587172873,0.6736197067239809,6,sgd,5.584223523938036e-05,,PRUNED
105,105,0.2529262900352478,2021-06-21 23:57:19.076224,2021-06-21 23:57:19.292410,0 days 00:00:00.216186000,41,0.002390343670043744,0.8306823600375526,8,sgd,9.987776306660015e-06,,PRUNED
106,106,0.1932603120803833,2021-06-21 23:57:19.292410,2021-06-21 23:57:19.508611,0 days 00:00:00.216201000,28,0.004064990185293934,0.9886069732599972,7,Adam,8.706777017034831e-05,,PRUNED
107,107,0.20693060755729675,2021-06-21 23:57:19.508611,2021-06-21 23:57:19.746946,0 days 00:00:00.238335000,48,0.00013293143452833837,0.6650805072079451,6,Adam,1.3235814961736399e-05,,PRUNED
108,108,0.18378417193889618,2021-06-21 23:57:19.746946,2021-06-21 23:57:19.994409,0 days 00:00:00.247463000,45,0.001835444837482576,0.7275588692549638,7,Adam,2.3899946437282714e-06,,PRUNED
109,109,0.18549677729606628,2021-06-21 23:57:20.010018,2021-06-21 23:57:20.256396,0 days 00:00:00.246378000,75,0.0001702132086143599,0.8968185251667931,8,Adam,4.922910993791833e-05,,PRUNED
110,110,0.2058563232421875,2021-06-21 23:57:20.256396,2021-06-21 23:57:20.494743,0 days 00:00:00.238347000,100,9.298996225927674e-05,0.9290434191938693,10,Adam,3.564897236936189e-05,,PRUNED
111,111,0.23754063248634338,2021-06-21 23:57:20.494743,2021-06-21 23:57:20.710921,0 days 00:00:00.216178000,57,0.0009734874094639096,0.6401626714415088,6,sgd,5.0536039306949994e-05,,PRUNED
112,112,0.28982341289520264,2021-06-21 23:57:20.710921,2021-06-21 23:57:20.911485,0 days 00:00:00.200564000,54,0.0005781299789660365,0.6776485487064685,6,sgd,6.092169015581262e-05,,PRUNED
113,113,0.18474705517292023,2021-06-21 23:57:20.911485,2021-06-21 23:57:21.127654,0 days 00:00:00.216169000,60,0.0006602160713947611,0.6574361935313288,6,sgd,5.756870463064055e-05,,PRUNED
114,114,0.23416569828987122,2021-06-21 23:57:21.127654,2021-06-21 23:57:21.343837,0 days 00:00:00.216183000,52,0.0008355009662984606,0.6861332018155085,5,sgd,4.123255485836077e-06,,PRUNED
115,115,0.19921091198921204,2021-06-21 23:57:21.343837,2021-06-21 23:57:21.575638,0 days 00:00:00.231801000,64,0.0005044634995683974,0.6697395802038547,6,sgd,3.5382592972396596e-06,,PRUNED
116,116,0.24529874324798584,2021-06-21 23:57:21.575638,2021-06-21 23:57:21.822979,0 days 00:00:00.247341000,36,0.00041824493407243134,0.8834390512807426,7,sgd,2.0630116881340673e-05,,PRUNED
117,117,0.191106379032135,2021-06-21 23:57:21.822979,2021-06-21 23:57:22.039193,0 days 00:00:00.216214000,49,0.0014881863986881982,0.9712963756083718,6,Adam,3.1156956625510216e-05,,PRUNED
118,118,0.010451515205204487,2021-06-21 23:57:22.039193,2021-06-22 00:17:18.668613,0 days 00:19:56.629420000,21,0.0012115576303783594,0.8584724525408329,7,Adam,2.6969930917810325e-05,,COMPLETE
119,119,0.21371376514434814,2021-06-22 00:17:18.684239,2021-06-22 00:17:18.906959,0 days 00:00:00.222720000,11,0.0021304369203794986,0.8605331971199115,7,Adam,2.833250794903534e-06,,PRUNED
120,120,0.18715748190879822,2021-06-22 00:17:18.906959,2021-06-22 00:17:19.123165,0 days 00:00:00.216206000,5,0.002605278983521134,0.8695964280176047,7,Adam,1.6211398751617294e-05,,PRUNED
121,121,0.19186748564243317,2021-06-22 00:17:19.123165,2021-06-22 00:17:19.339339,0 days 00:00:00.216174000,18,0.0010608426237608574,0.7001227529130123,7,Adam,2.775382109915859e-05,,PRUNED
122,122,0.198019340634346,2021-06-22 00:17:19.339339,2021-06-22 00:17:19.555506,0 days 00:00:00.216167000,30,0.0012846011993172307,0.9096985722448009,7,Adam,9.119398002465971e-06,,PRUNED
123,123,0.21672341227531433,2021-06-22 00:17:19.555506,2021-06-22 00:17:19.771685,0 days 00:00:00.216179000,22,0.0007828041502845587,0.6183035233171376,7,Adam,3.9127060397508047e-05,,PRUNED
124,124,0.27800533175468445,2021-06-22 00:17:19.771685,2021-06-22 00:17:19.987867,0 days 00:00:00.216182000,43,0.00032805164151958224,0.8865064812834216,8,Adam,2.4163922623565294e-05,,PRUNED
